English,Nepali
the,को
of,को
and,र
to,गर्न
a,एक
in,मा
for,लागि
is,छ
on,मा
that,कि
by,द्वारा
this,यो
with,संग
i,म
you,तपाईं
it,यसलाई
not,छैन
or,वा
be,हुन
are,हो
from,बाट
at,मा
as,रूपमा
your,आफ्नो
all,सबै
have,छ
new,नयाँ
more,थप
an,एक
was,थियो
we,हामी
will,हुनेछ
home,घर
can,गर्न सक्छन्
us,हामीलाई
about,बारेमा
if,यदि
page,पृष्ठ
my,मेरो
has,छ
search,खोज
free,मुक्त
but,तर
our,हाम्रो
one,एक
other,अन्य
do,के
no,कुनै
information,जानकारी
time,समय
they,तिनीहरूले
site,साइट
he,उहाँले
up,माथि
may,सक्छ
what,के
which,जो
their,आफ्नो
news,समाचार
out,बाहिर
use,प्रयोग
any,कुनै पनि
there,त्यहाँ
see,हेर्न
only,मात्र
so,त्यसैले
his,आफ्नो
when,जब
contact,सम्पर्क
here,यहाँ
business,व्यापार
who,Who
web,वेब
also,पनि
now,अब
help,मद्दत
get,प्राप्त
pm,बजे
view,दृश्य
online,अनलाइन
c,ग
e,ई
first,पहिलो
am,हूँ
been,भएको
would,के
how,कसरी
were,थिए
me,मलाई
s,को
services,सेवाहरू
some,केही
these,यी
click,क्लिक
its,यसको
like,जस्तै
service,सेवा
x,एक्स
than,भन्दा
find,फेला
price,मूल्य
date,मिति
back,फिर्ता
top,शीर्ष
people,मान्छे
had,थियो
list,सूची
name,नाम
just,बस
over,माथि
state,राज्य
year,वर्ष
day,दिन
into,मा
email,इमेल
two,दुई
health,स्वास्थ्य
n,N
world,विश्व
re,पुन
next,अर्को
used,प्रयोग
go,गोमा
b,ख
work,काम
last,पछिल्लो
most,सबै भन्दा
products,उत्पादनहरु
music,संगीत
buy,खरीद
data,डाटा
make,बनाउन
them,उनीहरु
should,SHOULD
product,उत्पादन
system,सिस्टम
post,पोस्ट
her,उनको
city,शहर
t,टी
add,थप
policy,नीति
number,नम्बर
such,यस्तो
please,कृपया
available,उपलब्ध
copyright,प्रतिलिपि अधिकार
support,समर्थन
message,सन्देश
after,पछि
best,सबै भन्दा राम्रो
software,सफ्टवेयर
then,त्यसपछि
jan,जनवरी
good,राम्रो
video,भिडियो
well,राम्रो
d,घ
where,जहाँ
info,जानकारी
rights,अधिकार
public,सार्वजनिक
books,पुस्तकहरू
high,उच्च
school,स्कूल
through,मार्फत
m,एम
each,प्रत्येक
links,लिंक
she,त्यो
review,समीक्षा
years,वर्ष
order,अर्डर
very,धेरै
privacy,गोपनीयता
book,पुस्तक
items,वस्तुहरू
company,कम्पनी
r,आर
read,पढ्न
group,समूह
need,आवश्यकता
many,धेरै
user,प्रयोगकर्ता
said,भने
de,डे
does,गर्छ
set,सेट
under,अन्तर्गत
general,सामान्य
research,अनुसन्धान
university,विश्वविद्यालय
january,जनवरी
mail,मेल
full,पूर्ण
map,नक्शा
reviews,समीक्षा
program,कार्यक्रम
life,जीवन
know,चिन्छु
games,खेल
way,बाटो
days,दिन
management,व्यवस्थापन
p,पी
part,भाग
could,सकेजति
great,ठूलो
united,संयुक्त
hotel,होटल
real,वास्तविक
f,च
item,वस्तु
international,अन्तर्राष्ट्रिय
center,केन्द्र
ebay,eBay
must,अवश्य
store,स्टोर
travel,यात्रा
comments,टिप्पणीहरू
made,गरे
development,विकास
report,रिपोर्ट
off,बन्द
member,सदस्य
details,विवरण
line,लाइन
terms,सर्तहरू
before,पहिले
hotels,होटल
did,गरे
